400,8,0.066052,0.107729
400,10,0.099481,0.125730
400,12,0.140975,0.176831
400,14,0.191283,0.211761
400,16,0.209875,0.224596
400,18,0.285226,0.289573
400,20,0.294194,0.274118
600,8,0.113429,0.161547
600,10,0.174021,0.197759
600,12,0.229794,0.276491
600,14,0.333804,0.331354
600,16,0.387443,0.328330
600,18,0.521329,0.494145
600,20,0.623785,0.485200
800,8,0.192653,0.248069
800,10,0.247023,0.257662
800,12,0.401558,0.399996
800,14,0.561779,0.469935
800,16,0.761146,0.625485
800,18,0.719887,0.529918
800,20,1.005652,0.851438
1000,8,0.233856,0.279267
1000,10,0.380787,0.395804
1000,12,0.604061,0.542011
1000,14,0.948048,0.725448
1000,16,1.080993,0.860775
1000,18,1.646018,1.226196
1000,20,1.622998,1.313945
1200,8,0.322811,0.375614
1200,10,0.513216,0.491647
1200,12,0.766797,0.766266
1200,14,1.048459,0.810135
1200,16,1.436868,1.123163
1200,18,1.826341,1.248789
1200,20,2.346869,2.080813
1400,8,0.349176,0.429328
1400,10,0.656493,0.638468
1400,12,0.947355,0.845859
1400,14,1.266867,1.008340
1400,16,2.057187,1.409744
1400,18,2.190435,1.358923
1400,20,3.039129,1.952474
1600,8,0.471060,0.528421
1600,10,0.746706,0.673456
1600,12,1.168839,1.081372
1600,14,1.877531,1.402818
1600,16,2.630934,1.818177
1600,18,2.544425,1.929905
1600,20,4.496724,2.962891
1800,8,0.603510,0.583315
1800,10,1.039383,1.020513
1800,12,1.395098,1.176107
1800,14,2.332502,1.725857
1800,16,2.640356,1.895566
1800,18,3.461907,2.126523
1800,20,4.461053,2.699355
