400,8,0.061407,0.255601
400,10,0.087644,0.335829
400,12,0.118702,0.293439
400,14,0.161602,1.528814
400,16,0.248006,0.788345
400,18,0.276600,1.696717
400,20,0.301224,1.617276
600,8,0.112678,1.073873
600,10,0.191000,1.519050
600,12,0.262147,1.423824
600,14,0.415383,1.311228
600,16,0.472767,0.394953
600,18,0.574765,0.864687
600,20,0.707410,1.476357
800,8,0.155587,1.594718
800,10,0.270766,1.592303
800,12,0.395764,1.033743
800,14,0.543815,2.601665
800,16,0.638231,1.906227
800,18,0.905283,1.816217
800,20,1.175194,1.533723
1000,8,0.270061,0.345632
1000,10,0.363014,1.933569
1000,12,0.670010,1.732416
1000,14,0.772454,0.923211
1000,16,1.036004,2.422244
1000,18,1.287561,3.086736
1000,20,1.628624,3.319958
1200,8,0.291682,0.308827
1200,10,0.460494,0.508351
1200,12,0.802544,1.717542
1200,14,1.124480,0.838595
1200,16,1.287216,1.020992
1200,18,1.620390,1.052983
1200,20,2.375726,1.916469
1400,8,0.461517,1.237710
1400,10,0.717910,0.622138
1400,12,0.960158,0.845016
1400,14,1.226935,0.838157
1400,16,1.802013,1.359663
1400,18,2.345957,1.412561
1400,20,2.650394,1.726674
1600,8,0.512717,0.562833
1600,10,0.872149,0.720716
1600,12,1.145278,0.855414
1600,14,1.770596,1.201980
1600,16,2.202289,1.300231
1600,18,2.983524,2.043345
1600,20,3.291384,1.863044
1800,8,0.487253,0.597887
1800,10,1.031180,0.765626
1800,12,1.391858,1.269476
1800,14,2.057897,1.780730
1800,16,2.463269,2.090998
1800,18,3.759006,2.325024
1800,20,4.321581,2.696024
