6000,2,12.325862,7.793351
6000,4,0.624126,0.901830
6000,6,1.058819,1.079286
6000,8,2.375671,1.960319
6400,2,15.034915,10.427382
6400,4,0.650276,0.905498
6400,6,1.258326,1.306011
6400,8,2.494803,2.060911
6800,2,16.078151,10.563671
6800,4,0.863922,1.174191
6800,6,1.332039,1.285499
6800,8,2.978738,2.704503
7200,2,21.466845,15.080005
7200,4,0.721039,1.003637
7200,6,1.252031,1.345692
7200,8,3.085871,2.650568
7600,2,23.425687,12.724727
7600,4,0.750403,1.001429
7600,6,1.553527,1.559314
7600,8,3.660115,2.494777
8000,2,28.286978,19.151534
8000,4,0.948385,1.121992
8000,6,1.845385,1.904989
8000,8,3.518193,3.088185
